location,indicator,subject,measure,frequency,time,health_spending_per_cap,Flag Codes,life_expect_birth,country
AUS,HEALTHEXP,TOT,USD_CAP,A,1971,223.592,,71.6,Australia 
AUT,HEALTHEXP,TOT,USD_CAP,A,1971,201.9619,,70.2,Austria
BEL,HEALTHEXP,TOT,USD_CAP,A,1971,168.5058,D,71.2,Belgium 
CAN,HEALTHEXP,TOT,USD_CAP,A,1971,324.0512,,72.9,Canada
DNK,HEALTHEXP,TOT,USD_CAP,A,1971,364.5805,D,73.3,Denmark
FIN,HEALTHEXP,TOT,USD_CAP,A,1971,190.1923,,70.1,Finland
DEU,HEALTHEXP,TOT,USD_CAP,A,1971,302.1459,,70.8,Germany
ISL,HEALTHEXP,TOT,USD_CAP,A,1971,227.8839,D,73.7,Iceland
JPN,HEALTHEXP,TOT,USD_CAP,A,1971,157.0962,D,72.9,Japan
NOR,HEALTHEXP,TOT,USD_CAP,A,1971,156.7782,,74.4,Norway
PRT,HEALTHEXP,TOT,USD_CAP,A,1971,54.6689,,66.4,Portugal
SWE,HEALTHEXP,TOT,USD_CAP,A,1971,302.6247,,74.8,Sweden
CHE,HEALTHEXP,TOT,USD_CAP,A,1971,392.4962,,73.3,Switzerland
GBR,HEALTHEXP,TOT,USD_CAP,A,1971,162.0258,,71.9,UK
USA,HEALTHEXP,TOT,USD_CAP,A,1971,357.983,,71.2,US
AUS,HEALTHEXP,TOT,USD_CAP,A,1972,239.1784,,72,Australia 
AUT,HEALTHEXP,TOT,USD_CAP,A,1972,222.2858,,70.6,Austria
BEL,HEALTHEXP,TOT,USD_CAP,A,1972,191.5558,D,71.5,Belgium 
DNK,HEALTHEXP,TOT,USD_CAP,A,1972,397.7483,D,73.4,Denmark
FIN,HEALTHEXP,TOT,USD_CAP,A,1972,216.3275,,70.7,Finland
DEU,HEALTHEXP,TOT,USD_CAP,A,1972,343.7003,,71,Germany
ISL,HEALTHEXP,TOT,USD_CAP,A,1972,243.8671,D,74.5,Iceland
JPN,HEALTHEXP,TOT,USD_CAP,A,1972,179.3623,D,73.2,Japan
NLD,HEALTHEXP,TOT,USD_CAP,A,1972,281.4789,,73.8,Netherlands
NOR,HEALTHEXP,TOT,USD_CAP,A,1972,185.9515,,74.6,Norway
PRT,HEALTHEXP,TOT,USD_CAP,A,1972,76.1216,,68.4,Portugal
SWE,HEALTHEXP,TOT,USD_CAP,A,1972,327.5264,,74.8,Sweden
CHE,HEALTHEXP,TOT,USD_CAP,A,1972,416.6092,,73.8,Switzerland
USA,HEALTHEXP,TOT,USD_CAP,A,1972,397.1014,,71.3,US
AUS,HEALTHEXP,TOT,USD_CAP,A,1973,264.0303,,72.1,Australia 
AUT,HEALTHEXP,TOT,USD_CAP,A,1973,249.2017,,71.1,Austria
BEL,HEALTHEXP,TOT,USD_CAP,A,1973,228.2962,D,71.7,Belgium 
DNK,HEALTHEXP,TOT,USD_CAP,A,1973,421.208,D,73.6,Denmark
FIN,HEALTHEXP,TOT,USD_CAP,A,1973,235.8708,,71.2,Finland
DEU,HEALTHEXP,TOT,USD_CAP,A,1973,396.4314,,71.3,Germany
ISL,HEALTHEXP,TOT,USD_CAP,A,1973,247.8772,D,74.6,Iceland
JPN,HEALTHEXP,TOT,USD_CAP,A,1973,196.173,D,73.4,Japan
NLD,HEALTHEXP,TOT,USD_CAP,A,1973,313.6346,,74.2,Netherlands
NOR,HEALTHEXP,TOT,USD_CAP,A,1973,210.1582,,74.7,Norway
PRT,HEALTHEXP,TOT,USD_CAP,A,1973,96.4832,,67.5,Portugal
SWE,HEALTHEXP,TOT,USD_CAP,A,1973,356.8408,,75,Sweden
CHE,HEALTHEXP,TOT,USD_CAP,A,1973,455.9513,,74.1,Switzerland
USA,HEALTHEXP,TOT,USD_CAP,A,1973,439.3022,,71.5,US
AUS,HEALTHEXP,TOT,USD_CAP,A,1974,322.3286,,71.9,Australia 
AUT,HEALTHEXP,TOT,USD_CAP,A,1974,295.0659,,71.1,Austria
BEL,HEALTHEXP,TOT,USD_CAP,A,1974,262.2699,D,72.1,Belgium 
DNK,HEALTHEXP,TOT,USD_CAP,A,1974,494.7508,D,74,Denmark
FIN,HEALTHEXP,TOT,USD_CAP,A,1974,260.8435,,71.2,Finland
DEU,HEALTHEXP,TOT,USD_CAP,A,1974,468.7214,,71.5,Germany
ISL,HEALTHEXP,TOT,USD_CAP,A,1974,321.6482,D,74.6,Iceland
JPN,HEALTHEXP,TOT,USD_CAP,A,1974,228.7534,D,73.7,Japan
NLD,HEALTHEXP,TOT,USD_CAP,A,1974,365.8162,,74.6,Netherlands
NOR,HEALTHEXP,TOT,USD_CAP,A,1974,236.5434,,75.1,Norway
PRT,HEALTHEXP,TOT,USD_CAP,A,1974,112.1765,,68.1,Portugal
SWE,HEALTHEXP,TOT,USD_CAP,A,1974,416.1785,,75.1,Sweden
CHE,HEALTHEXP,TOT,USD_CAP,A,1974,535.5791,,74.4,Switzerland
USA,HEALTHEXP,TOT,USD_CAP,A,1974,495.123,,72.1,US
AUS,HEALTHEXP,TOT,USD_CAP,A,1975,401.8512,,72.7,Australia 
AUT,HEALTHEXP,TOT,USD_CAP,A,1975,412.0627,,71.2,Austria
BEL,HEALTHEXP,TOT,USD_CAP,A,1975,352.0285,D,72.1,Belgium 
DNK,HEALTHEXP,TOT,USD_CAP,A,1975,547.0066,D,74.2,Denmark
FIN,HEALTHEXP,TOT,USD_CAP,A,1975,315.7781,,71.7,Finland
FRA,HEALTHEXP,TOT,USD_CAP,A,1975,362.5645,,73,France
DEU,HEALTHEXP,TOT,USD_CAP,A,1975,555.566,,71.4,Germany
ISL,HEALTHEXP,TOT,USD_CAP,A,1975,377.2202,D,75.7,Iceland
JPN,HEALTHEXP,TOT,USD_CAP,A,1975,281.4097,D,74.3,Japan
NLD,HEALTHEXP,TOT,USD_CAP,A,1975,419.7165,,74.6,Netherlands
NOR,HEALTHEXP,TOT,USD_CAP,A,1975,292.6418,,75.1,Norway
PRT,HEALTHEXP,TOT,USD_CAP,A,1975,154.4927,,68.4,Portugal
ESP,HEALTHEXP,TOT,USD_CAP,A,1975,200.2777,,73.3,Spain
SWE,HEALTHEXP,TOT,USD_CAP,A,1975,485.6318,,75.2,Sweden
CHE,HEALTHEXP,TOT,USD_CAP,A,1975,618.5619,,74.8,Switzerland
TUR,HEALTHEXP,TOT,USD_CAP,A,1975,45.5623,D,56.1,Turkey
USA,HEALTHEXP,TOT,USD_CAP,A,1975,560.7455,,72.7,US
AUS,HEALTHEXP,TOT,USD_CAP,A,1976,430.061,,72.8,Australia 
AUT,HEALTHEXP,TOT,USD_CAP,A,1976,471.7179,,71.7,Austria
BEL,HEALTHEXP,TOT,USD_CAP,A,1976,406.3051,D,72.2,Belgium 
CAN,HEALTHEXP,TOT,USD_CAP,A,1976,522.4715,,73.9,Canada
DNK,HEALTHEXP,TOT,USD_CAP,A,1976,602.9201,D,73.9,Denmark
FIN,HEALTHEXP,TOT,USD_CAP,A,1976,353.2043,,72,Finland
DEU,HEALTHEXP,TOT,USD_CAP,A,1976,619.4491,,71.8,Germany
ISL,HEALTHEXP,TOT,USD_CAP,A,1976,391.7099,D,77.1,Iceland
JPN,HEALTHEXP,TOT,USD_CAP,A,1976,305.5513,D,74.8,Japan
NLD,HEALTHEXP,TOT,USD_CAP,A,1976,455.6937,,74.7,Netherlands
NOR,HEALTHEXP,TOT,USD_CAP,A,1976,333.3121,,75.3,Norway
PRT,HEALTHEXP,TOT,USD_CAP,A,1976,163.886,,69,Portugal
ESP,HEALTHEXP,TOT,USD_CAP,A,1976,240.2397,,73.7,Spain
SWE,HEALTHEXP,TOT,USD_CAP,A,1976,538.2929,,75.1,Sweden
CHE,HEALTHEXP,TOT,USD_CAP,A,1976,669.7635,,74.9,Switzerland
TUR,HEALTHEXP,TOT,USD_CAP,A,1976,40.9581,D,56.5,Turkey
USA,HEALTHEXP,TOT,USD_CAP,A,1976,638.8557,,73,US
AUS,HEALTHEXP,TOT,USD_CAP,A,1977,472.8991,,73.4,Australia 
AUT,HEALTHEXP,TOT,USD_CAP,A,1977,521.641,,72,Austria
BEL,HEALTHEXP,TOT,USD_CAP,A,1977,469.1313,D,72.9,Belgium 
DNK,HEALTHEXP,TOT,USD_CAP,A,1977,635.8864,D,74.9,Denmark
FIN,HEALTHEXP,TOT,USD_CAP,A,1977,387.709,,72.4,Finland
DEU,HEALTHEXP,TOT,USD_CAP,A,1977,675.8422,,72.5,Germany
ISL,HEALTHEXP,TOT,USD_CAP,A,1977,444.8947,D,76.5,Iceland
JPN,HEALTHEXP,TOT,USD_CAP,A,1977,343.9546,D,75.3,Japan
NLD,HEALTHEXP,TOT,USD_CAP,A,1977,497.4076,,75.3,Netherlands
NOR,HEALTHEXP,TOT,USD_CAP,A,1977,382.545,,75.7,Norway
PRT,HEALTHEXP,TOT,USD_CAP,A,1977,162.3001,,70.1,Portugal
ESP,HEALTHEXP,TOT,USD_CAP,A,1977,273.0869,,74.2,Spain
SWE,HEALTHEXP,TOT,USD_CAP,A,1977,622.7401,,75.6,Sweden
CHE,HEALTHEXP,TOT,USD_CAP,A,1977,730.4875,,75.4,Switzerland
TUR,HEALTHEXP,TOT,USD_CAP,A,1977,51.5739,D,56.9,Turkey
USA,HEALTHEXP,TOT,USD_CAP,A,1977,726.2369,,73.4,US
AUS,HEALTHEXP,TOT,USD_CAP,A,1978,510.7161,,73.7,Australia 
AUT,HEALTHEXP,TOT,USD_CAP,A,1978,579.8399,,72.1,Austria
BEL,HEALTHEXP,TOT,USD_CAP,A,1978,531.6262,D,72.8,Belgium 
DNK,HEALTHEXP,TOT,USD_CAP,A,1978,703.1093,D,74.6,Denmark
FIN,HEALTHEXP,TOT,USD_CAP,A,1978,421.6848,,73,Finland
DEU,HEALTHEXP,TOT,USD_CAP,A,1978,752.8158,,72.4,Germany
ISL,HEALTHEXP,TOT,USD_CAP,A,1978,538.854,D,76.7,Iceland
IRL,HEALTHEXP,TOT,USD_CAP,A,1978,338.8649,,71.5,Ireland
JPN,HEALTHEXP,TOT,USD_CAP,A,1978,397.0256,D,75.7,Japan
NLD,HEALTHEXP,TOT,USD_CAP,A,1978,551.5421,,75.3,Netherlands
NOR,HEALTHEXP,TOT,USD_CAP,A,1978,465.2548,,75.8,Norway
PRT,HEALTHEXP,TOT,USD_CAP,A,1978,182.1873,,70.5,Portugal
ESP,HEALTHEXP,TOT,USD_CAP,A,1978,294.7268,,74.5,Spain
SWE,HEALTHEXP,TOT,USD_CAP,A,1978,680.4523,,75.7,Sweden
CHE,HEALTHEXP,TOT,USD_CAP,A,1978,786.1328,,75.4,Switzerland
TUR,HEALTHEXP,TOT,USD_CAP,A,1978,61.9462,D,57.3,Turkey
USA,HEALTHEXP,TOT,USD_CAP,A,1978,808.8881,,73.5,US
AUS,HEALTHEXP,TOT,USD_CAP,A,1979,554.7626,,74.3,Australia 
AUT,HEALTHEXP,TOT,USD_CAP,A,1979,660.0909,,72.4,Austria
BEL,HEALTHEXP,TOT,USD_CAP,A,1979,586.8149,D,73.3,Belgium 
CAN,HEALTHEXP,TOT,USD_CAP,A,1979,678.4152,,75.1,Canada
DNK,HEALTHEXP,TOT,USD_CAP,A,1979,797.9974,D,74.4,Denmark
FIN,HEALTHEXP,TOT,USD_CAP,A,1979,476.0903,,73.2,Finland
DEU,HEALTHEXP,TOT,USD_CAP,A,1979,832.6286,,72.8,Germany
IRL,HEALTHEXP,TOT,USD_CAP,A,1979,392.5665,,72.3,Ireland
JPN,HEALTHEXP,TOT,USD_CAP,A,1979,459.1314,D,76.2,Japan
NLD,HEALTHEXP,TOT,USD_CAP,A,1979,620.2936,,75.7,Netherlands
NOR,HEALTHEXP,TOT,USD_CAP,A,1979,478.8375,,75.8,Norway
PRT,HEALTHEXP,TOT,USD_CAP,A,1979,200.3286,,71.3,Portugal
ESP,HEALTHEXP,TOT,USD_CAP,A,1979,313.0721,,75,Spain
SWE,HEALTHEXP,TOT,USD_CAP,A,1979,752.2703,,75.7,Sweden
CHE,HEALTHEXP,TOT,USD_CAP,A,1979,882.7052,,75.7,Switzerland
TUR,HEALTHEXP,TOT,USD_CAP,A,1979,64.6638,D,57.7,Turkey
USA,HEALTHEXP,TOT,USD_CAP,A,1979,908.9625,,73.9,US
AUS,HEALTHEXP,TOT,USD_CAP,A,1980,615.7256,,74.6,Australia 
AUT,HEALTHEXP,TOT,USD_CAP,A,1980,742.5189,,72.6,Austria
BEL,HEALTHEXP,TOT,USD_CAP,A,1980,645.0063,D,73.3,Belgium 
CAN,HEALTHEXP,TOT,USD_CAP,A,1980,766.2398,,75.3,Canada
DNK,HEALTHEXP,TOT,USD_CAP,A,1980,861.222,,74.3,Denmark
FIN,HEALTHEXP,TOT,USD_CAP,A,1980,538.641,,73.6,Finland
FRA,HEALTHEXP,TOT,USD_CAP,A,1980,649.5386,,74.3,France
DEU,HEALTHEXP,TOT,USD_CAP,A,1980,941.1213,,72.9,Germany
ISL,HEALTHEXP,TOT,USD_CAP,A,1980,723.158,B,77,Iceland
IRL,HEALTHEXP,TOT,USD_CAP,A,1980,481.1329,,72.9,Ireland
JPN,HEALTHEXP,TOT,USD_CAP,A,1980,544.6309,D,76.1,Japan
NLD,HEALTHEXP,TOT,USD_CAP,A,1980,698.4237,,75.9,Netherlands
NOR,HEALTHEXP,TOT,USD_CAP,A,1980,528.5853,,75.9,Norway
PRT,HEALTHEXP,TOT,USD_CAP,A,1980,264.2319,,71.4,Portugal
ESP,HEALTHEXP,TOT,USD_CAP,A,1980,351.2603,,75.4,Spain
SWE,HEALTHEXP,TOT,USD_CAP,A,1980,866.5531,,75.9,Sweden
CHE,HEALTHEXP,TOT,USD_CAP,A,1980,1007.6518,,75.7,Switzerland
TUR,HEALTHEXP,TOT,USD_CAP,A,1980,69.4238,D,58.1,Turkey
GBR,HEALTHEXP,TOT,USD_CAP,A,1980,446.9553,,73.2,UK
USA,HEALTHEXP,TOT,USD_CAP,A,1980,1036.3091,,73.7,US
AUS,HEALTHEXP,TOT,USD_CAP,A,1981,697.3706,,74.9,Australia 
AUT,HEALTHEXP,TOT,USD_CAP,A,1981,693.6662,,72.9,Austria
BEL,HEALTHEXP,TOT,USD_CAP,A,1981,750.4773,D,73.7,Belgium 
CAN,HEALTHEXP,TOT,USD_CAP,A,1981,882.5133,,75.5,Canada
DNK,HEALTHEXP,TOT,USD_CAP,A,1981,955.3799,,74.4,Denmark
FIN,HEALTHEXP,TOT,USD_CAP,A,1981,606.4913,,73.9,Finland
DEU,HEALTHEXP,TOT,USD_CAP,A,1981,1070.3393,,73.2,Germany
ISL,HEALTHEXP,TOT,USD_CAP,A,1981,832.769,,76.6,Iceland
IRL,HEALTHEXP,TOT,USD_CAP,A,1981,508.173,,72.9,Ireland
JPN,HEALTHEXP,TOT,USD_CAP,A,1981,622.7155,D,76.5,Japan
NLD,HEALTHEXP,TOT,USD_CAP,A,1981,762.9227,,76,Netherlands
NOR,HEALTHEXP,TOT,USD_CAP,A,1981,588.4691,,76.1,Norway
PRT,HEALTHEXP,TOT,USD_CAP,A,1981,305.3306,,71.7,Portugal
ESP,HEALTHEXP,TOT,USD_CAP,A,1981,390.9626,,75.7,Spain
SWE,HEALTHEXP,TOT,USD_CAP,A,1981,963.2356,,76.2,Sweden
CHE,HEALTHEXP,TOT,USD_CAP,A,1981,1123.2798,,75.9,Switzerland
TUR,HEALTHEXP,TOT,USD_CAP,A,1981,85.3679,D,58.5,Turkey
GBR,HEALTHEXP,TOT,USD_CAP,A,1981,505.5757,,73.8,UK
USA,HEALTHEXP,TOT,USD_CAP,A,1981,1191.5418,,74.1,US
AUS,HEALTHEXP,TOT,USD_CAP,A,1982,731.9027,,74.7,Australia 
AUT,HEALTHEXP,TOT,USD_CAP,A,1982,747.8722,,73.1,Austria
BEL,HEALTHEXP,TOT,USD_CAP,A,1982,829.7761,D,74,Belgium 
CAN,HEALTHEXP,TOT,USD_CAP,A,1982,993.885,,75.9,Canada
DNK,HEALTHEXP,TOT,USD_CAP,A,1982,1059.2843,,74.7,Denmark
FIN,HEALTHEXP,TOT,USD_CAP,A,1982,670.5173,,74.6,Finland
DEU,HEALTHEXP,TOT,USD_CAP,A,1982,1110.4089,,73.5,Germany
ISL,HEALTHEXP,TOT,USD_CAP,A,1982,933.9135,,77.1,Iceland
IRL,HEALTHEXP,TOT,USD_CAP,A,1982,535.7402,,72.9,Ireland
JPN,HEALTHEXP,TOT,USD_CAP,A,1982,695.7236,D,76.9,Japan
NLD,HEALTHEXP,TOT,USD_CAP,A,1982,823.657,,76.1,Netherlands
NOR,HEALTHEXP,TOT,USD_CAP,A,1982,647.0286,,76.2,Norway
PRT,HEALTHEXP,TOT,USD_CAP,A,1982,333.1386,,72.5,Portugal
ESP,HEALTHEXP,TOT,USD_CAP,A,1982,425.6855,,76.3,Spain
SWE,HEALTHEXP,TOT,USD_CAP,A,1982,1046.4884,,76.5,Sweden
CHE,HEALTHEXP,TOT,USD_CAP,A,1982,1194.4246,,76.2,Switzerland
TUR,HEALTHEXP,TOT,USD_CAP,A,1982,76.3853,D,58.9,Turkey
GBR,HEALTHEXP,TOT,USD_CAP,A,1982,531.47,,74.1,UK
USA,HEALTHEXP,TOT,USD_CAP,A,1982,1329.6731,,74.5,US
AUS,HEALTHEXP,TOT,USD_CAP,A,1983,773.4711,,75.5,Australia 
AUT,HEALTHEXP,TOT,USD_CAP,A,1983,779.4923,,73.1,Austria
BEL,HEALTHEXP,TOT,USD_CAP,A,1983,886.4823,D,74,Belgium 
CAN,HEALTHEXP,TOT,USD_CAP,A,1983,1073.7424,,76.2,Canada
DNK,HEALTHEXP,TOT,USD_CAP,A,1983,1103.22,,74.6,Denmark
FIN,HEALTHEXP,TOT,USD_CAP,A,1983,724.6794,,74.4,Finland
DEU,HEALTHEXP,TOT,USD_CAP,A,1983,1175.1552,,73.8,Germany
ISL,HEALTHEXP,TOT,USD_CAP,A,1983,1027.8413,,77,Iceland
JPN,HEALTHEXP,TOT,USD_CAP,A,1983,751.8829,D,77,Japan
NLD,HEALTHEXP,TOT,USD_CAP,A,1983,870.5367,,76.3,Netherlands
NOR,HEALTHEXP,TOT,USD_CAP,A,1983,719.5041,,76.3,Norway
PRT,HEALTHEXP,TOT,USD_CAP,A,1983,326.4657,,72.4,Portugal
ESP,HEALTHEXP,TOT,USD_CAP,A,1983,461.2502,,76.1,Spain
SWE,HEALTHEXP,TOT,USD_CAP,A,1983,1095.6925,,76.7,Sweden
CHE,HEALTHEXP,TOT,USD_CAP,A,1983,1310.4866,,76.2,Switzerland
TUR,HEALTHEXP,TOT,USD_CAP,A,1983,83.6714,D,59.7,Turkey
GBR,HEALTHEXP,TOT,USD_CAP,A,1983,597.8042,,74.3,UK
USA,HEALTHEXP,TOT,USD_CAP,A,1983,1451.9445,,74.6,US
AUS,HEALTHEXP,TOT,USD_CAP,A,1984,817.2866,,75.8,Australia 
AUT,HEALTHEXP,TOT,USD_CAP,A,1984,814.0641,,73.7,Austria
BEL,HEALTHEXP,TOT,USD_CAP,A,1984,919.2787,D,74.5,Belgium 
CAN,HEALTHEXP,TOT,USD_CAP,A,1984,1149.5639,,76.5,Canada
DNK,HEALTHEXP,TOT,USD_CAP,A,1984,1127.0169,,74.8,Denmark
FIN,HEALTHEXP,TOT,USD_CAP,A,1984,775.8805,,74.8,Finland
DEU,HEALTHEXP,TOT,USD_CAP,A,1984,1274.0643,,74.3,Germany
ISL,HEALTHEXP,TOT,USD_CAP,A,1984,1033.6359,,77.7,Iceland
JPN,HEALTHEXP,TOT,USD_CAP,A,1984,783.9361,D,77.4,Japan
NLD,HEALTHEXP,TOT,USD_CAP,A,1984,888.2889,,76.4,Netherlands
NOR,HEALTHEXP,TOT,USD_CAP,A,1984,741.4723,,76.4,Norway
PRT,HEALTHEXP,TOT,USD_CAP,A,1984,339.0358,,72.7,Portugal
ESP,HEALTHEXP,TOT,USD_CAP,A,1984,467.168,,76.5,Spain
SWE,HEALTHEXP,TOT,USD_CAP,A,1984,1152.9266,,77,Sweden
CHE,HEALTHEXP,TOT,USD_CAP,A,1984,1346.3352,,76.9,Switzerland
TUR,HEALTHEXP,TOT,USD_CAP,A,1984,86.4412,D,60.9,Turkey
GBR,HEALTHEXP,TOT,USD_CAP,A,1984,622.0385,,74.5,UK
USA,HEALTHEXP,TOT,USD_CAP,A,1984,1590.6675,,74.7,US
AUS,HEALTHEXP,TOT,USD_CAP,A,1985,881.2391,,75.6,Australia 
AUT,HEALTHEXP,TOT,USD_CAP,A,1985,879.5659,,73.9,Austria
BEL,HEALTHEXP,TOT,USD_CAP,A,1985,971.0915,D,74.6,Belgium 
CAN,HEALTHEXP,TOT,USD_CAP,A,1985,1232.7336,,76.5,Canada
DNK,HEALTHEXP,TOT,USD_CAP,A,1985,1205.5467,,74.6,Denmark
FIN,HEALTHEXP,TOT,USD_CAP,A,1985,877.3167,,74.5,Finland
FRA,HEALTHEXP,TOT,USD_CAP,A,1985,1004.0484,,75.4,France
DEU,HEALTHEXP,TOT,USD_CAP,A,1985,1372.0026,,74.4,Germany
ISL,HEALTHEXP,TOT,USD_CAP,A,1985,1132.1416,,77.7,Iceland
IRL,HEALTHEXP,TOT,USD_CAP,A,1985,618.6488,,73.4,Ireland
JPN,HEALTHEXP,TOT,USD_CAP,A,1985,863.347,D,77.6,Japan
NLD,HEALTHEXP,TOT,USD_CAP,A,1985,934.4091,,76.5,Netherlands
NOR,HEALTHEXP,TOT,USD_CAP,A,1985,805.0504,,76.1,Norway
PRT,HEALTHEXP,TOT,USD_CAP,A,1985,389.0126,,73,Portugal
ESP,HEALTHEXP,TOT,USD_CAP,A,1985,480.4681,,76.4,Spain
SWE,HEALTHEXP,TOT,USD_CAP,A,1985,1151.9123,,76.8,Sweden
CHE,HEALTHEXP,TOT,USD_CAP,A,1985,1434.7317,,77,Switzerland
TUR,HEALTHEXP,TOT,USD_CAP,A,1985,64.0561,,62.1,Turkey
GBR,HEALTHEXP,TOT,USD_CAP,A,1985,654.4169,,74.7,UK
USA,HEALTHEXP,TOT,USD_CAP,A,1985,1735.1606,,74.7,US
AUS,HEALTHEXP,TOT,USD_CAP,A,1986,941.1635,,76.1,Australia 
AUT,HEALTHEXP,TOT,USD_CAP,A,1986,933.7634,,74.4,Austria
BEL,HEALTHEXP,TOT,USD_CAP,A,1986,1033.5016,D,74.8,Belgium 
CAN,HEALTHEXP,TOT,USD_CAP,A,1986,1312.9797,,76.6,Canada
DNK,HEALTHEXP,TOT,USD_CAP,A,1986,1249.5682,,74.8,Denmark
FIN,HEALTHEXP,TOT,USD_CAP,A,1986,930.1548,,74.8,Finland
DEU,HEALTHEXP,TOT,USD_CAP,A,1986,1412.8683,,74.6,Germany
ISL,HEALTHEXP,TOT,USD_CAP,A,1986,1300.3055,,78.1,Iceland
IRL,HEALTHEXP,TOT,USD_CAP,A,1986,619.5862,,73.6,Ireland
JPN,HEALTHEXP,TOT,USD_CAP,A,1986,894.6269,D,78.1,Japan
NLD,HEALTHEXP,TOT,USD_CAP,A,1986,987.2535,,76.4,Netherlands
NOR,HEALTHEXP,TOT,USD_CAP,A,1986,919.871,,76.5,Norway
PRT,HEALTHEXP,TOT,USD_CAP,A,1986,456.3351,,73.4,Portugal
ESP,HEALTHEXP,TOT,USD_CAP,A,1986,500.6476,,76.7,Spain
SWE,HEALTHEXP,TOT,USD_CAP,A,1986,1166.1314,,77.1,Sweden
CHE,HEALTHEXP,TOT,USD_CAP,A,1986,1519.943,,77.1,Switzerland
TUR,HEALTHEXP,TOT,USD_CAP,A,1986,84.4765,,63.2,Turkey
GBR,HEALTHEXP,TOT,USD_CAP,A,1986,685.1712,,74.8,UK
USA,HEALTHEXP,TOT,USD_CAP,A,1986,1847.7769,,74.7,US
AUS,HEALTHEXP,TOT,USD_CAP,A,1987,981.6215,,76.3,Australia 
AUT,HEALTHEXP,TOT,USD_CAP,A,1987,1015.9254,,74.9,Austria
BEL,HEALTHEXP,TOT,USD_CAP,A,1987,1099.8816,D,75.5,Belgium 
CAN,HEALTHEXP,TOT,USD_CAP,A,1987,1372.9816,,77,Canada
DNK,HEALTHEXP,TOT,USD_CAP,A,1987,1335.6857,,74.9,Denmark
FIN,HEALTHEXP,TOT,USD_CAP,A,1987,1005.4197,,74.8,Finland
DEU,HEALTHEXP,TOT,USD_CAP,A,1987,1484.8339,,75,Germany
ISL,HEALTHEXP,TOT,USD_CAP,A,1987,1466.4293,,77.4,Iceland
IRL,HEALTHEXP,TOT,USD_CAP,A,1987,635.8245,,74.5,Ireland
JPN,HEALTHEXP,TOT,USD_CAP,A,1987,952.0212,D,78.5,Japan
NLD,HEALTHEXP,TOT,USD_CAP,A,1987,1042.1446,,76.9,Netherlands
NOR,HEALTHEXP,TOT,USD_CAP,A,1987,993.5674,,76.3,Norway
PRT,HEALTHEXP,TOT,USD_CAP,A,1987,484.2448,,73.8,Portugal
ESP,HEALTHEXP,TOT,USD_CAP,A,1987,548.0774,,76.9,Spain
SWE,HEALTHEXP,TOT,USD_CAP,A,1987,1245.4541,,77.3,Sweden
CHE,HEALTHEXP,TOT,USD_CAP,A,1987,1618.5075,,77.5,Switzerland
TUR,HEALTHEXP,TOT,USD_CAP,A,1987,95.7156,,64.4,Turkey
GBR,HEALTHEXP,TOT,USD_CAP,A,1987,747.8186,,75.2,UK
USA,HEALTHEXP,TOT,USD_CAP,A,1987,1990.545,,74.9,US
AUS,HEALTHEXP,TOT,USD_CAP,A,1988,1039.8854,,76.3,Australia 
AUT,HEALTHEXP,TOT,USD_CAP,A,1988,1083.2472,,75.3,Austria
BEL,HEALTHEXP,TOT,USD_CAP,A,1988,1188.2074,D,75.7,Belgium 
CAN,HEALTHEXP,TOT,USD_CAP,A,1988,1464.7584,,77,Canada
DNK,HEALTHEXP,TOT,USD_CAP,A,1988,1405.2498,,75,Denmark
FIN,HEALTHEXP,TOT,USD_CAP,A,1988,1061.1596,,74.8,Finland
DEU,HEALTHEXP,TOT,USD_CAP,A,1988,1620.0093,,75.2,Germany
